relative_path,parent_directory,name,suffix,size_bytes,sha256,is_text,detected_encoding,printable_ratio,line_count,categories,uft_markers,object_reference_markers,parameter_markers,control_flow_markers,function_or_sub_markers,error
ProjRep/000/000/000/001/590,ProjRep/000/000/000/001,590,,4096,2ede8fd903690c395cb49dca5880ce0316599c999a7ec0673bbca2a7609617dc,False,,,,binary,,,,,,
ProjRep/000/000/000/001/591,ProjRep/000/000/000/001,591,,1238,0918462accb8fef0fad790ee382a87ee6f74dcc479628e650747d1f785b041d3,True,utf-8-sig,1.0000,67,text,,,,,,
ProjRep/000/000/000/001/592,ProjRep/000/000/000/001,592,,1153,9142b872fec5d448dda49b03b910d4cb2ad9c9660963f545b9a15f9e42e6cd15,True,utf-8-sig,1.0000,64,text,,,,,,
ProjRep/000/000/000/001/593,ProjRep/000/000/000/001,593,,5692,c7e7da7f7f954ad15e4fd2dbf201a1758a2041cd85c8b4dc2a4ccc9ff089cea7,True,utf-8-sig,1.0000,132,text; xml_candidate,,,,,,
ProjRep/000/000/000/001/594,ProjRep/000/000/000/001,594,,1406,c9cb1a3e63b3bbaa8396f69c9ae43b92430139d08744bc98ec1a44e7072588db,False,,,,binary,,,,,,
ProjRep/000/000/000/001/595,ProjRep/000/000/000/001,595,,318,9c4bb1b6cb14adfa1eb0e96b0786170af5529b96eecc4727d9f81b380ab10b68,False,,,,binary,,,,,,
ProjRep/000/000/000/001/596,ProjRep/000/000/000/001,596,,951,c1651cc141592cd07fa64775bcf7d6ef7891e8e2e830a5288c17dd39ad0023f9,False,,,,binary,,,,,,
ProjRep/000/000/000/001/597,ProjRep/000/000/000/001,597,,7926,d54985c1c8c5afdb7df6db739c3bc97a1fce9de283b7381f45045faa281a9d3d,True,utf-8-sig,1.0000,202,text; xml_candidate,,,,,,
ProjRep/000/000/000/001/598,ProjRep/000/000/000/001,598,,63580,24b95c6d433b2752782eb0a5cb37d4b17a6c507a6be223bcae998ffbe1fd7b66,False,,,,binary,,,,,,
ProjRep/000/000/000/001/599,ProjRep/000/000/000/001,599,,20992,a97e3efa02438924660b0cfb4cd5d060ada75767705d05ce42a6bddef5389bc4,False,,,,binary,,,,,,
