relative_path,parent_directory,name,suffix,size_bytes,sha256,is_text,detected_encoding,printable_ratio,line_count,categories,uft_markers,object_reference_markers,parameter_markers,control_flow_markers,function_or_sub_markers,error;;;;;;;;;;;;;;;;;;;;;;
db_xmlmap.xml,.,db_xmlmap.xml,.xml,425215,c249c594ad8aed1a6921ce2632b5293f9b747178a186bbba8f2061deecccfea3,True,utf-8-sig,1.0000,7021,text; known_text_extension; contains_control_flow; xml_candidate,,,,For ; Next,,;;;;;;;;;;;;;;;;;;
dbid.xml,.,dbid.xml,.xml,1262,7596201abebb8e6b98abc9d61c2c71cd9d0ac92195ba2270576dff212d84d0bc,True,utf-8-sig,1.0000,26,text; known_text_extension; contains_control_flow; xml_candidate,,,,Then,,;;;;;;;;;;;;;;;;;;;
ProjRep/000/000/000/001/024,ProjRep/000/000/000/001,024,,18513,847a86059ec40c0730b9c812aed5281d90fd2352d472afafd62d3f8846412c2e,False,,,,binary,,,,,,;;;;;;;;;;;;;;;;;;;;;;
ProjRep/000/000/000/001/025,ProjRep/000/000/000/001,025,,18002,01b4406d1023e083cfa4721a5ca053a3f35f4385459087269b75a4d90272b182,False,,,,binary,,,,,,;;;;;;;;;;;;;;;;;;;;;;
ProjRep/000/000/000/001/026,ProjRep/000/000/000/001,026,,18903,3a1404e6a6cc4a03828daced837219f690241ddf01907039d8cff781f88e79f5,False,,,,binary,,,,,,;;;;;;;;;;;;;;;;;;;;;;
ProjRep/000/000/000/001/027,ProjRep/000/000/000/001,027,,18392,4bf408a297a96616ff148bfe3c9b3da96db523b6039e33451d09078f74f852d6,False,,,,binary,,,,,,;;;;;;;;;;;;;;;;;;;;;;
ProjRep/000/000/000/001/028,ProjRep/000/000/000/001,028,,17952,4c40a10e8030d82c39b993e5e288a02550cacd3de3855e9b875f4399d826e4b1,False,,,,binary,,,,,,;;;;;;;;;;;;;;;;;;;;;;
ProjRep/000/000/000/001/029,ProjRep/000/000/000/001,029,,17998,b79a87c0cac348098ffaf79651af8de3ecb53ee84478e5b574776629ce2f2f60,False,,,,binary,,,,,,;;;;;;;;;;;;;;;;;;;;;;
ProjRep/000/000/000/001/030,ProjRep/000/000/000/001,030,,19069,398e8118093aa8eaebc1bf83e38fd871145b9c7c00a3b711225a190f9ca87482,False,,,,binary,,,,,,;;;;;;;;;;;;;;;;;;;;;;
ProjRep/000/000/000/001/031,ProjRep/000/000/000/001,031,,18889,7f2eb9d8c9550d7bba41742ce38b44dca399c8d49fcadb59dc5b1a340207a839,False,,,,binary,,,,,,;;;;;;;;;;;;;;;;;;;;;;
ProjRep/000/000/000/001/032,ProjRep/000/000/000/001,032,,18920,c93a83037477dc44a60ff21ad4d765b2a3a9350e26604ce10974208734652fc0,False,,,,binary,,,,,,;;;;;;;;;;;;;;;;;;;;;;
ProjRep/000/000/000/001/033,ProjRep/000/000/000/001,033,,18717,6b647e31ffec6d583c2844ce9a5d3b539d9d1b288c51dcb2bfb907f112dd82ab,False,,,,binary,,,,,,;;;;;;;;;;;;;;;;;;;;;;
ProjRep/000/000/000/001/034,ProjRep/000/000/000/001,034,,23251,1706290f99de3a3644d983f360854c253aaf1c4b67021819d2c163ab7b2c15cd,False,,,,binary,,,,,,;;;;;;;;;;;;;;;;;;;;;;
ProjRep/000/000/000/001/035,ProjRep/000/000/000/001,035,,18762,1f2362ebc7d14690d1dfc8947400d099ed1fb4c3285f35312455e11e7936e58c,False,,,,binary,,,,,,;;;;;;;;;;;;;;;;;;;;;;
ProjRep/000/000/000/001/036,ProjRep/000/000/000/001,036,,18764,a68334d7dfbd0a414e5d96dc025f2031d5820c48a67fd53d5352f0cda3bea72d,False,,,,binary,,,,,,;;;;;;;;;;;;;;;;;;;;;;
ProjRep/000/000/000/001/037,ProjRep/000/000/000/001,037,,19201,178956b0a393156c7b512a6af36fb7724059af439e6930c37d6da67158f64400,False,,,,binary,,,,,,;;;;;;;;;;;;;;;;;;;;;;
ProjRep/000/000/000/001/038,ProjRep/000/000/000/001,038,,19609,aa2b38f542736f25023eda4c31fb22f7bc2d7d7e8a56942ba36138e0e38d888f,False,,,,binary,,,,,,;;;;;;;;;;;;;;;;;;;;;;
ProjRep/000/000/000/001/039,ProjRep/000/000/000/001,039,,19264,22b31cffb3c1da04bd116a5ef43ce21949e85543139a194307bf2644272f5bf3,False,,,,binary,,,,,,;;;;;;;;;;;;;;;;;;;;;;
ProjRep/000/000/000/001/040,ProjRep/000/000/000/001,040,,19267,3f849f2df1bdffa35a7452a9edaa45e6aa2d84807b21fd13e8216b5e8070cebb,False,,,,binary,,,,,,;;;;;;;;;;;;;;;;;;;;;;
